year_month,dahiti_wse,swot_pixc_wse,swot_lakesp_wse,swot_pixc_wse_cor,swot_lakesp_wse_cor
2023-08,1887.4993,1887.8667,1887.9070000000002,1887.5831,1887.463707984561
2023-09,1887.4312,1887.7599,1887.9245,1887.4763,1887.481207984561
2023-10,1887.5302,1887.7974,1887.9833333333333,1887.5138,1887.5400413178943
2023-11,1887.5972,1887.7504,1888.1915,1887.4668,1887.7482079845608
2023-12,1887.4482,1887.7639,1887.8474999999999,1887.4803,1887.4042079845608
2024-01,1887.4261,1887.7036,1888.042,1887.42,1887.5987079845609
2024-02,1887.4602,1887.7856,1887.9395,1887.5021,1887.496207984561
2024-03,1887.4592,1887.7152,1887.8,1887.4316,1887.356707984561
2024-04,1887.3192,1887.6403,1887.781,1887.3567,1887.337707984561
2024-05,1887.1742,1887.4883,1887.542,1887.2047,1887.0987079845609
2024-06,1887.2942,1887.5967,1887.6345000000001,1887.3131,1887.191207984561
2024-07,1887.2642,1887.6012,1887.727,1887.3176,1887.283707984561
2024-08,1887.4642,1887.7156,1887.872,1887.432,1887.428707984561
2024-09,1887.4712,1887.7837,1887.853,1887.5001,1887.409707984561
2024-10,1887.5822,1887.8925,,1887.6089,
2024-11,1887.5732,1887.7671,,1887.4835,
2024-12,1887.6072,1887.7938,,1887.5103,
