year_month,dahiti_wse,swot_pixc_wse,swot_lakesp_wse,swot_pixc_wse_cor,swot_lakesp_wse_cor
2023-09,1965.4342,1966.0171,,1965.4158,
2023-11,1965.5702,1966.3223,1966.4545,1965.721,1965.7234525553386
2023-12,1965.6812,1966.1672,1966.371,1965.5659,1965.6399525553386
2024-01,1965.5062,1966.0778,1966.4045,1965.4764,1965.6734525553386
2024-02,1965.4037,1966.0978,1966.234,1965.4965,1965.5029525553384
2024-03,1965.3011,1965.8467,1965.9360000000001,1965.2454,1965.2049525553387
2024-04,1965.0922,1965.6117,1965.78,1965.0104,1965.0489525553385
2024-05,1964.8522,1965.489,1965.599,1964.8877,1964.8679525553384
2024-06,1964.8743,1965.453,1965.743,1964.8517,1965.0119525553384
2024-07,1964.8757,1965.417,1965.557,1964.8157,1964.8259525553385
2024-08,1965.1193,1965.8175,1965.931,1965.2162,1965.1999525553385
2024-09,1965.4032,1966.1221,1965.97,1965.5208,1965.2389525553385
2024-10,1965.5372,1965.9983,1966.009,1965.397,1965.2779525553385
2024-11,1965.6072,1966.2284,,1965.6271,
2024-12,1965.3922,1966.0039,,1965.4026,
