year_month,dahiti_wse,pixc_wse_weighted,pixc_wse_weighted_cor,pixc_wse_unweighted,pixc_wse_unweighted_cor
2023-08,1887.4993,1887.8667,1887.5831,,
2023-09,1887.4312,1887.7599,1887.4763,1887.7768775177167,1887.4989498230193
2023-10,1887.5302,1887.7974,1887.5138,1887.8020064689183,1887.524078774221
2023-11,1887.5972,1887.7504,1887.4668,1887.71616351006,1887.4382358153625
2023-12,1887.4482,1887.7639,1887.4803,1887.7671184706328,1887.4891907759354
2024-01,1887.4261,1887.7036,1887.42,1887.6969567546219,1887.4190290599245
2024-02,1887.4602,1887.7856,1887.5021,1887.79168219679,1887.5137545020925
2024-03,1887.4592,1887.7152,1887.4316,1887.7018590233372,1887.4239313286398
2024-04,1887.3192,1887.6403,1887.3567,1887.640439829995,1887.3625121352977
2024-05,1887.1742,1887.4883,1887.2047,1887.5002394969224,1887.222311802225
2024-06,1887.2942,1887.5967,1887.3131,1887.587689982514,1887.3097622878165
2024-07,1887.2642,1887.6012,1887.3176,1887.6089358604124,1887.331008165715
2024-08,1887.4642,1887.7156,1887.432,1887.7175845847876,1887.4396568900902
2024-09,1887.4712,1887.7837,1887.5001,1887.7864719165239,1887.5085442218265
2024-10,1887.5822,1887.8925,1887.6089,1887.8869111466931,1887.6089834519958
2024-11,1887.5732,1887.7671,1887.4835,1887.7725065331304,1887.494578838433
2024-12,1887.6072,1887.7938,1887.5103,1887.795499822103,1887.5175721274056
