year_month,dahiti_wse,pixc_wse_weighted,pixc_wse_weighted_cor,pixc_wse_unweighted,pixc_wse_unweighted_cor
2023-09,1965.4342,1966.0171,1965.4158,1965.964864742808,1965.3962594126317
2023-11,1965.5702,1966.3223,1965.721,1966.268095877271,1965.6994905470947
2023-12,1965.6812,1966.1672,1965.5659,1966.1509287844697,1965.5823234542934
2024-01,1965.5062,1966.0778,1965.4764,1966.03181778692,1965.4632124567438
2024-02,1965.4037,1966.0978,1965.4965,1965.9127067893708,1965.3441014591945
2024-03,1965.3011,1965.8467,1965.2454,1965.7935957918212,1965.224990461645
2024-04,1965.0922,1965.6117,1965.0104,1965.5912903801534,1965.022685049977
2024-05,1964.8522,1965.489,1964.8877,1965.4459049653535,1964.8772996351772
2024-06,1964.8743,1965.453,1964.8517,1965.552113853993,1964.9835085238167
2024-07,1964.8757,1965.417,1964.8157,1965.6583227426327,1965.0897174124564
2024-08,1965.1193,1965.8175,1965.2162,1965.7645316312721,1965.1959263010958
2024-09,1965.4032,1966.1221,1965.5208,1965.8961114788312,1965.327506148655
2024-10,1965.5372,1965.9983,1965.397,1966.0276913263904,1965.459085996214
2024-11,1965.6072,1966.2284,1965.6271,1966.1603984711805,1965.5917931410042
2024-12,1965.3922,1966.0039,1965.4026,,
