year_month,swot_pixc_wse,isat2_wse,isat2_wse_cor
2023-08,1887.8667,1887.7203750610352,1887.7545111227398
2023-09,1887.7599,,
2023-10,1887.7974,1887.7843765751009,1887.8185126368055
2023-11,1887.7504,,
2023-12,1887.7639,,
2024-01,1887.7036,,
2024-02,1887.7856,,
2024-03,1887.7152,,
2024-04,1887.6403,,
2024-05,1887.4883,1887.4447296870762,1887.478865748781
2024-06,1887.5967,,
2024-07,1887.6012,1887.550864475633,1887.5850005373377
2024-08,1887.7156,,
2024-09,1887.7837,,
2024-10,1887.8925,,
2024-11,1887.7671,1887.8496037754444,1887.883739837149
2024-12,1887.7938,,
