year_month,swot_pixc_wse,isat2_wse,isat2_wse_cor
2023-09,1966.0171,,
2023-11,1966.3223,1966.2311401367188,1966.3599853515625
2023-12,1966.1672,,
2024-01,1966.0778,1966.052978515625,1966.1818237304688
2024-02,1966.0978,,
2024-03,1965.8467,,
2024-04,1965.6117,1965.5679931640625,1965.6968383789062
2024-05,1965.489,1965.3990478515625,1965.5278930664062
2024-06,1965.453,,
2024-07,1965.417,1965.384765625,1965.5136108398438
2024-08,1965.8175,1965.4415283203125,1965.5703735351562
2024-09,1966.1221,,
2024-10,1965.9983,,
2024-11,1966.2284,1965.9842529296875,1966.1130981445312
2024-12,1966.0039,,
